RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,75682867,Customer_0,668,France,Male,56,0,17215.412599259074,2,0,0,46130.062560291655,1
2,66755036,Customer_1,607,France,Female,44,4,88821.70363515842,3,0,1,123216.9544093307,0
3,66882282,Customer_2,459,Spain,Male,49,10,78222.44288915713,2,1,0,82340.20318659129,0
4,31081788,Customer_3,794,France,Female,40,6,38271.3927914364,3,1,0,83010.40288227858,0
5,23315092,Customer_4,527,Germany,Female,29,5,171461.40959043868,2,0,1,104456.40643432608,0
6,45788921,Customer_5,590,Germany,Male,41,7,42793.44426335706,2,1,1,139182.88507679763,0
7,36735830,Customer_6,685,France,Male,29,0,16588.772721277084,2,0,0,149051.1991887101,0
8,41632483,Customer_7,530,France,Male,28,1,250000.0,3,0,0,92050.13553205854,1
9,86737383,Customer_8,500,France,Male,63,0,43685.05221785304,3,1,1,34173.97072516097,0
10,98358551,Customer_9,437,Spain,Female,38,0,17496.452620926055,3,1,1,160750.16863719013,0
11,98409749,Customer_10,722,Spain,Male,33,10,33898.447838738975,2,1,0,137708.2318289647,0
12,14981505,Customer_11,595,Germany,Male,69,1,71298.59087713818,2,1,0,162441.71060486854,1
13,23953367,Customer_12,850,Spain,Male,57,5,53812.22251155786,2,1,0,71102.58540852585,0
14,95652971,Customer_13,550,Spain,Male,39,5,75613.3940475045,4,0,1,182869.77630476447,0
15,14521373,Customer_14,557,Germany,Female,51,5,81321.54147891556,2,1,0,61087.535807005945,1
16,13344769,Customer_15,593,Germany,Male,41,4,9876.213956742207,4,0,1,66180.63927499682,0
17,86893497,Customer_16,674,France,Male,34,3,28362.638926086296,2,1,1,112643.40390004315,0
18,40349564,Customer_17,602,France,Female,52,2,103583.38328187358,3,1,1,199491.2935707472,0
19,52860080,Customer_18,711,Spain,Male,40,10,78815.39690080378,3,1,1,49674.36601109114,0
20,87751354,Customer_19,552,Germany,Female,46,0,6937.298260712907,3,0,1,169565.5143039004,0
21,72250665,Customer_20,511,Spain,Female,60,0,28391.393791111896,3,0,0,12031.208339008264,0
22,76209791,Customer_21,470,Spain,Female,58,3,200874.64041509494,2,0,0,56338.02004313782,0
23,56792155,Customer_22,427,Germany,Female,36,2,148544.49804980907,2,0,1,76802.48356087189,0
24,31498555,Customer_23,598,Germany,Male,52,2,83295.94219015587,3,0,1,133788.2668763853,1
25,70221198,Customer_24,619,Germany,Female,28,10,5674.111559462661,2,0,1,33020.54113879196,0
26,89757501,Customer_25,586,Germany,Male,51,7,70056.4575645419,4,1,1,35835.67340352686,0
27,26861870,Customer_26,774,Spain,Female,47,10,919.7262155682457,1,1,1,39162.278648169784,0
28,62286002,Customer_27,772,Spain,Female,50,2,81159.60883081648,1,1,1,136415.85714464917,1
29,42049003,Customer_28,616,Spain,Male,40,1,98537.29772327363,2,1,0,33186.97637368152,1
30,71136438,Customer_29,470,Germany,Male,76,7,51573.716956450386,3,1,0,86615.21399449545,1
31,72194931,Customer_30,593,France,Female,31,8,286.0431083437899,1,0,1,41106.486306955,0
32,75285250,Customer_31,590,Spain,Male,59,3,82383.19937008694,2,0,0,83571.63808121957,1
33,79537252,Customer_32,584,France,Female,29,10,128501.66252885423,2,1,0,146116.71811496664,0
34,69248434,Customer_33,580,France,Male,52,10,66117.69230525731,2,0,0,63912.222872766215,0
35,71306900,Customer_34,584,France,Female,53,3,92633.32144929323,2,0,0,127955.02087755194,1
36,65831368,Customer_35,611,Germany,Male,45,1,7099.791296465679,1,0,0,58407.30031663865,0
37,20959014,Customer_36,586,Germany,Male,37,3,94229.70307386288,2,0,0,150549.83741200494,0
38,66972561,Customer_37,670,Spain,Female,47,10,71431.34521290119,2,1,0,157990.23931038764,0
39,58900483,Customer_38,686,Spain,Female,49,1,30150.05277297029,2,1,0,70067.4219297537,0
40,30193880,Customer_39,558,Germany,Female,71,4,86718.2628922415,4,0,1,16070.072855056414,0
41,13385357,Customer_40,777,Germany,Male,31,5,77796.05709138562,3,1,1,35908.223242689826,0
42,54738553,Customer_41,551,France,Male,36,1,68620.66811200653,2,0,1,104085.98758705058,0
43,78574553,Customer_42,488,Germany,Female,49,4,15153.702041159006,2,1,0,83568.69152971757,1
44,26845364,Customer_43,688,Germany,Male,41,1,26346.894177943883,1,1,0,76692.88473295572,0
45,62157313,Customer_44,568,Germany,Female,43,9,250000.0,2,1,1,120731.01067186418,0
46,21392366,Customer_45,682,Germany,Male,61,6,42569.14054798489,4,1,0,42015.41535420746,1
47,79778859,Customer_46,409,France,Male,18,8,4594.913131312999,3,1,0,97628.58799179445,0
48,98883975,Customer_47,789,Spain,Male,36,1,171951.55093788766,1,0,0,49906.33788248077,0
49,23479854,Customer_48,717,France,Female,18,0,14240.135110058518,1,1,0,196423.59577235876,1
50,83506850,Customer_49,499,Germany,Male,27,9,38753.19481920103,4,1,0,20749.03267670229,0
51,23187277,Customer_50,502,Germany,Male,81,2,24429.647639158266,1,0,1,14561.432233156569,1
52,78979792,Customer_51,817,Spain,Male,53,0,249058.70076738586,2,1,0,117881.95059125882,1
53,47709731,Customer_52,576,Spain,Male,59,0,35623.026434744395,1,1,0,23387.61031123223,1
54,36939239,Customer_53,566,Spain,Female,43,3,92509.48889255954,3,0,0,164381.87458832652,1
55,33027075,Customer_54,423,France,Male,56,0,68419.2233201956,1,0,1,166003.1694528949,1
56,91200125,Customer_55,614,Spain,Male,18,4,3294.445790701396,2,0,0,93027.30762911202,0
57,96191493,Customer_56,627,Germany,Male,60,6,36376.4465769714,1,0,0,169540.5978809538,1
58,97796277,Customer_57,721,Germany,Male,32,3,37074.924505175666,1,0,1,151102.90722317414,0
59,76401385,Customer_58,510,Germany,Female,37,10,250000.0,2,0,0,37100.76899215225,0
60,32335235,Customer_59,497,France,Male,52,0,125320.06037704585,1,0,0,173540.33565174186,1
61,10271836,Customer_60,695,Spain,Male,49,3,145687.19377762856,1,0,0,176305.61117784903,1
62,13584702,Customer_61,750,Spain,Male,46,0,28213.49188967866,1,1,0,72388.41266625894,1
63,62631083,Customer_62,492,Spain,Male,24,10,29930.065420097228,1,0,0,157599.79643702388,1
64,18585377,Customer_63,758,Spain,Female,46,10,54364.20389416052,4,1,1,180654.48278414574,0
65,96544585,Customer_64,653,Germany,Male,59,2,74774.97344150314,2,0,0,152070.26555065485,0
66,95157821,Customer_65,759,France,Male,37,1,97727.45967368175,3,1,0,29300.305015037033,1
67,97655395,Customer_66,642,Spain,Female,64,1,128944.735083348,2,1,0,29419.200291190537,1
68,27824013,Customer_67,397,Germany,Male,31,9,154887.1304863458,1,1,1,196674.46395949917,0
69,46601694,Customer_68,634,Germany,Female,45,5,1870.0650281431797,2,1,1,113580.90729327254,0
70,77105583,Customer_69,756,France,Male,68,10,119257.90579425255,1,1,0,133004.28937812638,0
71,70304654,Customer_70,560,Spain,Male,34,0,70781.77303238433,2,1,0,183461.289794227,1
72,44119117,Customer_71,611,France,Male,60,3,56960.11141371694,1,0,0,12989.162531716556,1
73,46433622,Customer_72,632,Spain,Male,74,5,74258.68536150512,2,0,0,91978.4077342091,0
74,99482491,Customer_73,360,France,Male,47,10,160241.0587854375,3,0,1,118299.92661117582,1
75,70031992,Customer_74,817,Spain,Male,37,2,59107.304447780116,4,1,1,11991.613393903184,0
76,65105831,Customer_75,559,Spain,Male,33,1,13272.116578889876,2,0,1,129230.18212116093,1
77,13366612,Customer_76,700,France,Male,64,10,43055.99276813893,2,0,0,171908.06595030523,0
78,68743503,Customer_77,641,Spain,Male,64,0,193731.5090223444,1,0,0,21932.848690229486,0
79,46258670,Customer_78,775,France,Male,66,3,126345.9627694382,3,0,0,163107.3122379719,0
80,79739572,Customer_79,690,France,Male,44,3,17021.836361905476,4,1,1,195758.50766916914,1
